p1	p2
不光大家伙都省事，你自己也可以少跑两趟嘛。	不光大家伙都省事，而且你自己可以少跑两趟嘛。
我吃饭吃了八百块钱。	我吃饭花了八百块钱。
一周之内再不把校对稿交给出版社，他们就要改变出版计划了。	如果一周之内再不把校对稿交给出版社，他们就要改变出版计划了。
他付了我们100块钱。	我们被付了100块钱。
我写好信的时候她已经睡着了。	我信写好的时候她已经睡着了。
她的笑便渐渐少了。	她渐渐变得不快乐了。
噢，我来这儿搞个采访。	我来这采访。
有两只小鸡争着饮水，蹬翻了水碗，往青石板上一跳，满石板印着许多小小的“个”字。	因有两只小鸡争着饮水，蹬翻了水碗，往青石板上一跳，以至于满石板印着许多小小的“个”字。
门给风吹开了。	风把门吹开了。
他知道这事吗？当然知道，只不过他不说而已。	他当然知道这事，只不过他不说而已。
植树节你们植树吗？	你们植树节植树吗？
一只青蛙从小池塘里跳出来。	小池塘里跳出来一只青蛙。
阳春四月，平原地区的桃花早就凋谢了，可是这里却仍然是一片绯红，桃花含苞欲放，艳丽多姿。	阳春四月，尽管平原地区的桃花早就凋谢了，可是这里却仍然是一片绯红，桃花含苞欲放，艳丽多姿。
他玩起来没个完。	他太喜欢玩了。
他把这批货卖掉了一大半。	这批货的一大半被他卖掉了。
既然情况都了解清楚了，为什么却还要死抓住人家这些小问题不放呢？	既然情况都弄清楚了，为什么还要死抓住人家这些小问题不放呢？
不管荤的、素的都没个完。	不管荤的、素的都没个数。
我写信写了一个晚上。	我一个晚上都在写信。
人人都知道这件事。	这件事人人都知道。
差点儿没办成。	办成了。
做个群众演员不但是未来做主角的必经之路，而且是在北京生存的打工方式之一。	做个群众演员不但是未来做主角的必经之路，也是在北京生存的打工方式之一。
她叠好了被子。	被子他叠好了。
我冲着他笑了笑，然后继续唱歌。	我冲着他笑了笑，又继续唱歌。
我觉得佳艳的德语水平远在我之上，虽然我的考试成绩比他高。	我觉得我的德语水平远在佳艳之下，虽然我的考试成绩比他高。
我的老天爷呀！	我的天！
杯子是空的。	杯子空空如也。
杯子被他打破了。	他把杯子打碎了。
老爷爷拄着拐棍过马路。	老爷爷过马路要拄着拐棍。
这个大男孩，宁可静静的坐着观察蚁群，也不愿去跟伙伴们爬树。	这个大男孩，宁肯静静的坐着观察蚁群，也不愿去跟伙伴们爬树。
我不能不去北京。	我必须去北京。
尽管他赢得了冠军，可是没有赢得人们的尊重。	虽说他赢得了冠军，却没有赢得人们的尊重。
全组人员正在马不停蹄地准备材料填写各种表格，以求能够按时向有关部门递交项目申请书。	全组人员正在马不停蹄地准备材料填写各种表格，借以能够按时向有关部门递交项目申请书。
每次出差回来都给她带礼物，要不然就一定给你脸子看。	除非出差回来都给她带礼物，才不会给你脸子看。
下课了没有？	下课了没？
我不常逛街，因为我老没时间。	我老没时间，所以我不常逛街。
切菜都不会，可见你不会做饭。	因为你不会切菜，所以你应该不会做饭。
寄了一笔钱给妈妈。	寄给了妈妈一笔钱。
真香。	很香。
我们有能力打进决赛。	我们可以打进决赛。
做个群众演员不但是未来做主角的必经之路，而且是在北京生存的打工方式之一。	做个群众演员是未来做主角的必经之路，是在北京生存的打工方式之一。
险些把他撞倒。	没有把他撞倒。
我国在这一方面的法律规定与贵国的法律规定相同。	这一方面的法律规定我国与贵国相同。
躺在床上翻来覆去，睡不着。	躺在床上滚来滚去，睡不着。
是留长发好，还是剪短了好啊？	留长发、剪短发，哪个好？
不应该只看到个别动作像不像，而是要看舞蹈中表现的情感可能不可能存在。	不应该只看到个别动作像不像，而是要看舞蹈中表现的情感能否存在。
冰箱里的东西全被吃干净了。	冰箱里的东西全被吃完了。
这个计划没有一点问题。	这个计划没问题。
他们系走了一个老师。	他们系一个老师走了。
有两只小鸡争着饮水，蹬翻了水碗，往青石板上一跳，满石板印着许多小小的“个”字。	由于有两只小鸡争着饮水，蹬翻了水碗，往青石板上一跳，因此满石板印着许多小小的“个”字。
每次出差回来都给她带礼物，要不然就一定给你脸子看。	每次出差回来都给她带礼物，否则就一定给你脸子看。
他看了一场电影。	他就看了一场电影。
你现在这样的成绩，说实话，很难拿到奖学金。	说实话，你现在这样的成绩，很难拿到奖学金。
我们在哪些地方做的不对，或者不够令人满意？	我们在哪些地方做的不够令人满意，或者不对？
它的宽大的叶子也是片片向上，几乎没有斜生的，更不用说倒垂了。	它的宽大的叶子也是片片向上，别说倒垂了，连斜生的都没有。
办一件放心一件。	办好多少就放心多少。
对方的后卫把球踢进了自家的球门。	球被对方的后卫踢进了自家的球门。
这道题好不容易呀，做了半天还没有做出来。	这道题很难呀，做了半天还没有做出来。
他讲了至多十分钟。	他讲的超不过十分钟。
我们通过词典把这本书翻译出来啦！	通过词典我们把这本书翻译出来啦！
她在每本书上都签了名字。	没有一本书她没有在上面签了名字。
做个群众演员不但是未来做主角的必经之路，而且是在北京生存的打工方式之一。	做个群众演员不仅是未来做主角的必经之路，而且是在北京生存的打工方式之一。
千万别大意！	一定不要粗心！
广东哪里最好玩啊？	广东最好玩的地方在哪？
我妈妈姓冯，我爸爸也姓冯。	我爸爸、妈妈都姓冯。
我们同王教授讨论合作的事。	我们讨论合作的事同王教授。
老兄！	兄弟！
有两只小鸡争着饮水，蹬翻了水碗，往青石板上一跳，满石板印着许多小小的“个”字。	因为有两只小鸡争着饮水，蹬翻了水碗，往青石板上一跳，所以满石板印着许多小小的“个”字。
虽然是满月，天上却有一层淡淡的云，所以不能朗照；但我以为这恰是到了好处——酣眠固不可少，小睡也别有风味。	虽然是满月，因为天上有一层淡淡的云，所以不能朗照；然而我以为这恰是到了好处——酣眠固不可少，小睡也别有风味。
向前看。	朝前看。
那人看着都乏味。	那人看着就没意思。
没你这么干的。	你这么干不对。
他们家住了两个客人。	两个客人住在他们家。
那个瓜没十斤重。	那个瓜不到十斤。
这位老大娘说不定还会送你一双绣花鞋呢。	这位老大娘说不定还会把一双绣花鞋送给你呢。
他修好了电脑。	他的电脑被他修好了。
她看花了眼睛。	她的眼睛看花了。
这下子把我们所有人都吓傻了，那个叫五哥的鼓手，甚至还当场哭出了声。	这下子把我们所有人都吓傻了，甚至那个叫五哥的鼓手还当场哭出了声。
月儿在云中穿行，船儿在湖中荡漾，风儿拂面而来······。	风儿拂面而来，月儿在云中穿行，船儿在湖中荡漾。
因为一点小矛盾，彼此就不再来往了。	因为一点小矛盾，以致彼此就不再来往了。
虽然金融风暴使许多国家的国民经济出现了下滑现象，但是我国的国民经济依然保持了较快的增长。	虽说金融风暴使许多国家的国民经济出现了下滑现象，然而我国的国民经济依然保持了较快的增长。
我哪里会说法语呀！	我不会说法语呀！
这个问题的答案比较明显。	这个问题的答案较为明显。
门给吹开了。	门被吹开了。
只有做了广泛深入的调查研究，才可能得出让人们信服的结论。	只有做了广泛深入的调查研究，要不然不可能得出让人们信服的结论。
这种鸡，既可以像饲养普通鸡那样进行笼养，也可以放养。	这种鸡，既可以进行笼养像饲养普通鸡那样，也可以放养。
你除非答应我的条件，我才告诉你。	只有你答应我的条件，我才告诉你。
首先于一九四零年十月间重开浈缅路，接着派了一些在敦刻尔克撤退下来的残兵败将来中国学习游击战。	先于一九四零年十月间重开浈缅路，然后派了一些在敦刻尔克撤退下来的残兵败将来中国学习游击战。
哪儿去了，刚才？	刚才去哪儿了？
他没有听懂。	他没听懂。
小王没有汽车。	小王没汽车。
千万别大意！	一定不要大意！
她看花了眼睛。	看花了她的眼。
他下楼了，在门口买了几个面包，塞在书包里，然后去了图书馆。	他下楼了，在门口买了几个面包，把面包塞在书包里，然后去了图书馆。
他有两个儿子，一个是记者，一个是公务员。	他有两个儿子，一个公务员，一个记者。
干脆，我来个抽羊角风！	我干脆来个抽羊角风！
他付了我们100块钱。	一百块钱被他付给了我们。
我能把这块大石头举起来。	我能举起这块大石头。
我跟老李用绳子拉倒了那棵树。	我和老李用绳子拉倒了那棵树。
她洗净了一件衣服。	她把那件衣服洗干净了。
他花光了钱。	他花完了所有的钱。
他没有吃饱。	他差点儿吃饱了。
请大家安静一点。	请大家保持安静。
他染黄了头发。	他把头发染黄了。
他不比你强多少。	你不比他差什么。
有一分希望，也要付出一百分的努力。	即便只有一分希望，也要付出一百分的努力。
原来我也有枝这样的笔来着。	原来我也有枝这样的笔。
柜子叫小弟给翻得乱七八糟。	柜子给小弟翻得乱七八糟。
风遇到防护林，速度就减少了百分之七十到八十。到了距离防护林等于林木高度二十米的地方，风速又恢复原来的强度。所以防护林必须是并行排列的许多林带，两列之间的距离不要超过林木高度的二十倍。	遇到防护林，风的速度固然就减少了百分之七十到八十，但是到了距离为林木高度二十倍的地方，风速又恢复原来的强度。因此防护林必须是并行排列的许多林带，两列之间的距离不要超过林木高度的二十倍。
这个公园逛了我们一个下午。	我们在这个公园逛了一下午。
学校里调来了一位女教师。	一位女教师被调到学校里来了。
倘或他有个好和歹。	他若有个好歹。
我不知道该信哪一种说法，因此也就无法判断，。	我不知道该信哪一种说法，所以也就无法判断，。
不久，被雷劈中的那棵大树又长出了嫩绿的新芽。	不久，嫩绿的新芽从被雷劈中的那棵大树上长出来了。
不光大家伙都省事，你自己也可以少跑两趟嘛。	不但大家伙都省事，而且你自己可以少跑两趟嘛。
不一会儿他又回来了。	他不久又回来了。
鲸鱼是一种哺乳动物。	鲸鱼是哺乳动物。
对于家庭琐事，他从来不放在心上。	他对于家庭小事从来不上心。
因为时间太仓促了，他们放弃了这次参赛的机会。	因为时间太仓促了，所以他们放弃了这次参赛的机会。
那今晚我请你去看电影好了，只是不知道你的女朋友会不会介意。	那今晚我请你去看电影好了，只不过不知道你的女朋友会不会介意。
他下楼了，在门口买了几个面包，塞在书包里，然后去了图书馆。	他下楼后在门口买了几个面包，把面包塞在书包里，然后去了图书馆。
这个问题讨论了我们半天。	我们为这个问题讨论了半天。
几乎没考上甲班。	很可能没有考上甲班。
如果是一个贪图财物享受的人，他就不会天天把自己关在书斋里做学问了。	若是一个贪图财物享受的人，他便不会天天把自己关在书斋里做学问了。
通过翻译，我们交谈了半个小时。	我们通过翻译交谈了半个小时。
如果说过去还有点糊涂，那么今天却已经是完全清醒了。	如果说过去还有点糊涂，那么今天是已经完全清醒了。
没你这么弄得。	你这么弄不对。
年轻时我也漂亮过。	我年轻的时候很漂亮。
因获奖而成名。	由于获奖而成名。
我借给了小王两本小说。	我借给小王两本书。
他这个人死要面子，哪里会认错。	他这个人死要面子，不会认错。
他尽管身体不好，可是仍然坚持工作。	尽管他身体不好，可是仍然坚持工作。
他们系走了一个老师。	走了一个老师是他们系的。
细心的室友姚萌看出了陈晓澜的心思。	陈晓澜的心思被细心的室友姚萌看出来了。
不知道这句话是谁说的，不过，这并不重要。	是谁说的这句话并不重要。
在悬崖峭壁间开辟出一条路来尚且不易，更何况是修建寺庙！	在悬崖峭壁间开辟出一条路来尚且不易，更别说修建寺庙！
你这么做，还要不要命了？	你不要这么做，会没命的！
我深知老师的心理压力比我们还大。	我深知老师的心理压力要比我们大。
这位刘先生，他是个有钱人。	这位刘先生是个有钱人。
屋子左边墙上挂满了玉米棒子。	玉米棒子挂在屋子左边墙上。
小孩吃光了苹果。	小孩把苹果吃光了。
我们不欢迎撒谎的人。	我不喜欢撒谎的人。
老市长拿起手笔在铺开的宣纸上题写了几个大字。	在铺开的宣纸上老市长拿起手笔题写了几个大字。
回家过年太麻烦了，何况我还没在广州过过春节。	首先回家过年太麻烦了，更重要的是我还没在广州过过春节。
一旦有机会，就要全力以赴。	一旦有机会，便要全力以赴。
你再摔摔，看这次的动作合不合标准。	你再摔摔，看这次的动作符合标准吗？
那今晚我请你去看电影好了，只是不知道你的女朋友会不会介意。	那今晚我请你去看电影好了，只是不清楚你的女朋友会不会介意。
我一定把驾驶执照考下来，只要你给我时间。	如果你给我时间，那么我一定把驾驶执照考下来。
忙的没个空儿。	忙的么空。
杯子刚刚被他打破了。	刚刚，他打破了杯子。
不光大家伙都省事，你自己也可以少跑两趟嘛。	不仅大家伙都省事，而且你自己可以少跑两趟嘛。
我们就去帮他的忙。	我们帮助他。
大海上没有波涛。	大海上一点儿波涛也没有。
他用钳子把车修好了。	车被他用钳子修好了。
不知道这句话是谁说的，不过，这并不重要。	不知道这句话是谁说的，只不过，这并不重要。
他走过去。他倒了一杯酒。他喝了一口。	他走过去倒了一杯酒喝了一口。
小红哭湿了枕头。	小红把枕头都哭湿了。
小孙收入微薄，而且上有父母，下有子女，家庭负担不轻，但是，为人慷慨大方，经常帮助比他更困难的朋友。	小孙收入微薄，上有老下有小，家庭负担不轻，但是，为人慷慨大方，经常帮助比他更困难的朋友。
得一个奖乐半天。	乐了半天因为得了奖。
这是他们吃饭的时候。	这是他们吃饭的点。
他有两个儿子，一个是记者，一个是公务员。	他有两个儿子，一个记者，一个公务员。
明天下雨的话，活动就会泡汤。	如果明天下雨的话，活动就会泡汤。
就语言来看，这部作品不像是宋代的。	这部作品就语言来看不像是宋代的。
差点儿答不上来。	差点儿答不上来。
方法始终在变。	方法永远在变。
我知道他明天来。	他明天来这我知道。
除非能证明他当时在现场，否则此事与他无关。	只有能证明他当时在现场，才能说此事与他相关。
必须尽快改变现状，否则我真的没有出路了。	必须尽快改变现状，要不然我真的没有出路了。
不知不觉我学会了广州话，而且说的还不错。	不知不觉我学会了广州话，并且说的还不错。
我们无论评价什么样的历史人物，都必须全面的看待，不但要看到他们的历史功绩和贡献，而且要看到他们的过失和负面影响，否则，就不可能做出全面、客观的评价。	我们不管评价什么样的历史人物，都必须全面的看待，不但要看到他们的历史功绩和贡献，而且要看到他们的过失和负面影响，否则，就不可能做出全面、客观的评价。
用用就知道。	用了便知。
我吃饭吃了八百块钱。	我吃饭花了800元。
在下次董事会上，一定得拿出个让大家都满意的新方案出来。	在下次董事会上，一定要拿出让大家都满意的新方案。
大家热烈鼓掌表示庆贺。	大家热烈鼓掌然后表示庆贺。
每个符号对应一种意义，两个或几个符号的意义相同，或一个符号表示几种意义的情况不存在。	每个符号对应一种意义，两个或几个符号的意义相同，也就是一个符号表示几种意义的情况不存在。
大勇整天躺在床上看杂志、听音乐，借以打发这茫然无聊的日子。	大勇整天躺在床上看杂志、听音乐，以求打发这茫然无聊的日子。
那个小姑娘蓝眼睛。	那个小姑娘是蓝眼睛。
全组人员正在马不停蹄地准备材料填写各种表格，以求能够按时向有关部门递交项目申请书。	全组人员正在马不停蹄地准备材料填写各种表格，以便能够按时向有关部门递交项目申请书。
哪儿他都去过。	他哪儿都去过。
老王也许现在已经知道这件事了。	也许老王现在已经知道这件事了。
狗打死了。	把狗打死了。
冰箱里的东西全被吃干净了。	冰箱里的东西都被吃干净了。
不说不知道。	说了才知道。
我才不去呢。	我不去。
小心地滑。	小心，地很滑。
大家都称他为小诸葛。	他被大家叫做小诸葛。
衣服干了。	衣服晾干了。
太棒了！	好棒啊！
这段描写固然有些夸张，但我国古代宝刀宝剑之锋利，却非虚传。	这段描写虽然有些夸张，但我国古代宝刀宝剑之锋利绝对不是虚传。
丽丽哭红了眼睛。	丽丽不停地哭，眼睛都红了。
因前一段时间连降暴雨，以致工期一再拖延。	前一段时间连降暴雨，导致工期一再拖延。
兄弟两个谁也不服谁。	兄弟两个彼此都不服气。
我妈妈姓冯，我爸爸也姓冯。	我爸姓冯，我妈也姓冯。
我们通常星期四下午开碰头会。	星期四下午我们通常开碰头会。
唐代有个诗人。这个诗人叫李白。	唐代有个诗人叫李白。
他是个心胸宽广的人，哪里会介意这点小事。	他是个心胸宽广的人，不会介意这点小事。
除非能证明他当时在现场，否则此事与他无关。	此事与他无关，除非能证明他当时在现场。
是主动迎接挑战，还是高挂免战牌？	是高挂免战牌，还是主动迎接挑战？
他们都在说笑小王。	小王被他们说笑。
他的数学不怎么好。	他的数学不太好。
它的皮光滑而有银色的晕圈，微微泛出淡青色。	它的皮不但光滑、有银色的晕圈，而且微微泛出淡青色。
村民自发组织起巡逻队，以防不测。	村民自发组织起巡逻队，省得不测。
你什么时候也信起这一套了？	你信这一套吗？
无论遇到什么困难，我们都不能自乱阵脚。	任凭遇到什么困难，我们都不能自乱阵脚。
不一会儿他又回来了。	他不一会儿又回来了。
对于家庭琐事，他从来不放在心上。	他对于家庭琐事从来不放在心上。
这瓶酒喝了我半个月的工资。	喝这瓶酒花了我半个月的工资。
他怀疑事情还没有办完。	他认为事情还没有办完。
小王被领导批评了。	领导批评小王了。
奶奶告诉我一个天大的秘密。	奶奶把一个天大的秘密告诉了我。
我不要红衣服，不过这件衣服不太红，将就着穿吧。	我不要红衣服，不过这件衣服不是很红，将就着穿吧。
玩了个痛快。	玩了个爽快。
资金感到充足。	感觉资金充裕。
老王也许现在已经知道这件事了。	可能老王现在已经知道这件事了。
她离开广州已经好几年了。	她已经离开广州好几年了。
我给了她一只笔。	他送我一支笔。
翻跟头他不行。	他翻跟头不行。
虽然是满月，天上却有一层淡淡的云，所以不能朗照；但我以为这恰是到了好处——酣眠固不可少，小睡也别有风味。	虽则是满月，因为天上有一层淡淡的云，所以不能朗照；然而我以为这恰是到了好处——酣眠固不可少，小睡也别有风味。
他卖了我一只小狗。	他给我卖了一只小狗。
他偷了小王一辆自行车。	小王的自行车被他偷了。
她去市场买菜回来做饭吃。	做饭之前，她要先去市场买菜。
虽然金融风暴使许多国家的国民经济出现了下滑现象，但是我国的国民经济依然保持了较快的增长。	虽是金融风暴使许多国家的国民经济出现了下滑现象，但是我国的国民经济依然保持了较快的增长。
处处我都检查过了。	我处处都检查过了。
小王被领导批评的时候，他还在笑呢。	领导批评小王的时候，他还在笑。
钱放在手里贬值太厉害，不如拿出去投资。	钱放在手里贬值太厉害，还不如拿出去投资。
由于对造成事故的主观原因认识不足，因此导致了此类事故的再次发生。	由于对造成事故的主观原因认识不足，以致此类事故的再次发生。
我之所以会吃惊，是因为没想到会在这种地方遇见他。	没想到会在这种地方遇见他，因此我很吃惊。
他一下班就走了。	他一下班就离开了。
这个问题讨论了我们半天。	这个问题被我们用半天来讨论了。
这个问题他们也许已经解决了。	也许这个问题他们已经解决了。
你这么做，还要不要命了？	你这么做，会丧命的！
他把手表放到耳边听了听。	他把手表放到耳边，然后听了听。
你办一办试试，看能不能成。	你试试看能不能办成。
洗衣机把衣服洗坏了。	衣服被洗衣机洗坏了。
他可能明天才会来。	可能明天他才会来。
你不觉得我们的战士很可爱吗？	你觉得我们的战士很可爱？
你不觉得我们的战士很可爱吗？	你认为我们的战士很可爱？
任凭风吹浪打，都毫不动摇。	无论风吹浪打，总是毫不动摇。
这次活动与其说是在培养孩子们吃苦精神，还不如说是给他们一次体验集体生活的机会。	这次活动与其说是在培养孩子们吃苦精神，倒不如说是给他们一次体验集体生活的机会。
虽然是满月，天上却有一层淡淡的云，所以不能朗照；但我以为这恰是到了好处——酣眠固不可少，小睡也别有风味。	虽是满月，天上却有一层淡淡的云，所以不能朗照；可是我以为这恰是到了好处——酣眠固不可少，小睡也别有风味。
那人看着都乏味。	看着那人都乏味。
明天下雨的话，活动就会泡汤。	若明天下雨的话，那么活动会泡汤。
我一定要嫁给他，哪怕他是个穷光蛋。	我一定要嫁给他，就算他是个穷光蛋。
咱俩谁跟谁呀。	哥两关系好呀~。
这道题做了我三个小时。	做这道题我用了3个小时。
这两个问题相同。	这两个问题是相同的。
谁都知道事情的真相。	没有人不知道事情的真相。
关山月，广东阳江人。	关山月是广东阳江人。
什么事语法？简单的说，就是组词造句的规则。	简单的说，语法就是组词造句的规则。
她用的护肤品和你一样高档。	你用的护肤品很高档，她用的也很高档。
眼睛看坏了。	看的眼睛坏了。
他的主意没个更改。	他的主意不更改。
下雨的季节。	下雨季节。
他逃脱不了法律的制裁，尽管他爸爸是李刚。	他逃脱不了法律的制裁，虽然他爸爸是李刚。
他看书看累了。	因为看书他累了。
他一口饭没吃。	他没吃一口饭。
小赵知道得多。	小赵知道得不少。
任凭风吹浪打，都毫不动摇。	任凭风吹浪打，总是毫不动摇。
这让他没了面子，而且还给他带来了不小的经济损失。	这让他没了面子，甚至给他带来了不小的经济损失。
他最常去那里。	他经常去那里。
刮风的天气。	天在刮风。
假设真的没有文明和文化，那么这个世界就像个未成品。	如果真的没有文明和文化，那么这个世界就像个未成品。
他们都在说笑小王。	小王都在被他们说笑。
他教我们化学。	我们化学是他教。
他拿了我一本书。	我的一本书被他拿了。
你扮演我们的交通员，让敌人抓住了。	你扮演我们的交通员，叫敌人抓住了。
应该坚持实地的调查，免得被二手资料所蒙蔽。	应该坚持实地的调查，以免被二手资料所蒙蔽。
门前种着花。	花种在门前。
做个群众演员不但是未来做主角的必经之路，而且是在北京生存的打工方式之一。	做个群众演员不仅是未来做主角的必经之路，也是在北京生存的打工方式之一。
我之所以会吃惊，是因为没想到会在这种地方遇见他。	因为没想到会在这种地方遇见他，所以我会吃惊。
在困难面前，或者当个懦弱的逃兵，或者做个勇猛的战士。	在困难面前，不是做个勇猛的战士，就是当个懦弱的逃兵。
我让她坐进我的三七炮位里，给她扣上我那沉重的钢盔，告诉她这炮火力相当猛烈。	我叫她坐进我的三七炮位里，给她扣上我那沉重的钢盔，告诉她这炮火力相当猛烈。
差点儿答错。	几乎答错。
这让他没了面子，而且还给他带来了不小的经济损失。	这让他没了面子，并且还给他带来了不小的经济损失。
这座桥分为上下两层，上层是公路桥面，可容纳六辆客车并排通过，下层是铺设双轨的复线铁路，铁道两侧还有人行道。	这座桥分为上下两层，首先上层是公路桥面，可容纳六辆客车并排通过，然后下层是铺设双轨的复线铁路，铁道两侧还有人行道。
詹先生虽然可以给她带来物质上的富足，却无法给她带来真正的幸福。	詹先生虽然可以给她带来物质上的富足，然而无法给她带来真正的幸福。
因为这件事，小田受到了表扬。	小田因为这件事受到了表扬。
这样不仅可以帮助人家解一时的燃眉之急，还可以借机先锻炼一下自己。	这样可以帮助人家解一时的燃眉之急，可以借机先锻炼一下自己。
中间有一间小屋子。	小屋子在中间。
小明在家务上给妈妈帮了不少忙。	在家务上小明给妈妈帮了不少忙。
你现在这样的成绩，说实话，很难拿到奖学金。	说实话，你现在这样的成绩，想要拿到奖学金很难。
钱包别给小偷偷了。	别让小偷偷了钱包。
我昨天写好了一封信。	我昨天写了一份信。
我始终坚持认为，雷锋精神不但没有过时，而且永远不会过时。	我始终坚持认为，雷锋精神没有过时，永远不会过时。
我给了她一只笔。	她从我这拿了一支笔。
丽丽哭红了眼睛。	丽丽的眼睛已经哭红了。
老兄！	伙计！
由于对造成事故的主观原因认识不足，因此导致了此类事故的再次发生。	因对造成事故的主观原因认识不足，以致此类事故的再次发生。
小心别打碎杯子。	小心别把杯子打碎了。
那个瓜没十斤重。	那个瓜没到十斤。
这台电脑修了我五百块钱。	修这台电脑花了我五百块钱。
人人都知道这件事。	这件事被所有人都知道了。
不应该只看到个别动作像不像，而是要看舞蹈中表现的情感可能不可能存在。	不光要看到个别动作像不像，还要看舞蹈中表现的情感能否存在。
墙上挂着齐白石的画。	齐白石的画挂在墙上。
我做题做了三个小时。	我花了三个小时做题。
这样的处理打破了历来的规矩。	打破了原来的规矩来这样的处理。
他下午也许来不了。	也许他下午来不了。
只有做了广泛深入的调查研究，才可能得出让人们信服的结论。	想要得出让人们信服的结论，就必须做广泛深入的调查研究。
他没有看清。	他没看清。
一周之内再不把校对稿交给出版社，他们就要改变出版计划了。	一周之内再不把校对稿交给出版社，那么他们要改变出版计划了。
躺在床上翻来覆去，睡不着。	躺在床上辗转难眠。
由于对造成事故的主观原因认识不足，因此导致了此类事故的再次发生。	由于对造成事故的主观原因认识不足，于是导致了此类事故的再次发生。
缺不了你的钱花。	有你花的钱。
我吃饭吃了八百块钱。	我用八百块钱来吃饭。
我派他去北京。	被我派去北京的是他。
他明明知道下午有事。	他一定知道下午有事。
她上次来姥姥家过暑假的时候，还是个小学生呢。	上次她来姥姥家过暑假时，还是个小学生。
我不常逛街，因为我老没时间。	我老没时间，故我不常逛街。
凡是学校的事儿，没他不管的。	学校事他都管。
资金感到不足。	感到资金不足。
有人由于不讲逻辑，因此对别人不合逻辑的言论，不但不能觉察它的荒谬，反而随声附和，人云亦云。	有人不讲逻辑，因此对别人不和逻辑的言论，不但不能觉察它的荒谬，反而随声附和，人云亦云。
差点儿摔倒。	差点儿没摔倒。
大师傅已经做好了可口的饭菜。	大师傅已经把可口的饭菜做好了。
他已经通知了所有人。	所有人都收到了他的通知。
他不但没有和大家一起撤离，相反却留下来参加了抢险队。	他不仅没和大家一起撤离，反而却留下来参加了抢险队。
虽然是满月，天上却有一层淡淡的云，所以不能朗照；但我以为这恰是到了好处——酣眠固不可少，小睡也别有风味。	虽则是满月，因为天上有一层淡淡的云，所以不能朗照；我却以为这恰是到了好处——酣眠固不可少，小睡也别有风味。
我一定把驾驶执照考下来，只要你给我时间。	只要你给我时间，我便一定把驾驶执照考下来。
到时候我们不得学个文件什么的。	我们到时候得学个文件什么的。
我修电脑修了五百块钱。	五百块钱被我拿来修电脑了。
这叫你说着了。	这让你说着了。
千万别大意！	千万不敢大意！
当官不为民做主，不如回家卖红薯。	假如当官不为民做主，还不如回家卖红薯。
我写信写了一个晚上。	这封信要写我一个晚上。
比尔送了乔伊斯一件礼物。	这件礼物是比尔送给乔伊斯的。
那张桌子三条腿。	那张桌子是三条腿的。
你走你的阳关道，我走我的独木桥。	我走我的独木桥，你走你的阳关道。
你走你的阳关道，我走我的独木桥。	我走我的阳关道，你走你的独木桥。
我们没有把你搁在外头。	你没有被我们搁在外头。
他吃烤鸭吃胖了。	吃烤鸭把他吃胖了。
